,net,cell,lon,lat,range,samples,distanze
1286,10,10085297,12.608877,41.923548,89,17,10356.189732458244
1287,10,10062141,12.552926,41.971103,2130,195,10298.621493352603
1288,10,10071755,12.545252,41.966006,1339,225,9498.052210299067
1289,10,10086035,12.548375,41.959514,570,32,8996.05763963428
1290,10,10087162,12.535683,41.942471999999995,336,54,6832.143149759494
1291,10,10065394,12.526032,41.929842,477,57,5218.407249187588
1292,10,10396352,12.515362,41.892893,406,64,1935.10180848167
1293,10,10413400,12.503578,41.886143,70,13,1035.2265570563618
1294,10,10408643,12.496642999999999,41.880477,8,3,1134.8559397963595
1295,10,10086036,12.538952,41.94641,141,22,7346.732543121442
